net,radius,data_number,tool,autoattack_success
FNN_big,0.05,500,small,0.0
FNN_big,0.05,500,big,0.0
FNN_big,0.05,500,ori,1.0
FNN_big,0.05,500,adv-train,0.788
FNN_big,0.05,500,art,0.092
FNN_big,0.05,500,care,0.952
FNN_big,0.05,500,prdnn,0.994
FNN_big,0.05,500,reassure,0
FNN_big,0.05,1000,small,0.0
FNN_big,0.05,1000,big,0.0
FNN_big,0.05,1000,ori,1.0
FNN_big,0.05,1000,adv-train,0.913
FNN_big,0.05,1000,art,0.08
FNN_big,0.05,1000,care,0.929
FNN_big,0.05,1000,prdnn,0.996
FNN_big,0.05,1000,reassure,0
FNN_big,0.1,50,small,0.0
FNN_big,0.1,50,big,0.0
FNN_big,0.1,50,ori,1.0
FNN_big,0.1,50,adv-train,0.94
FNN_big,0.1,50,art,0.08
FNN_big,0.1,50,care,0.98
FNN_big,0.1,50,prdnn,1.0
FNN_big,0.1,50,reassure,1.0
FNN_big,0.1,100,small,0.0
FNN_big,0.1,100,big,0.0
FNN_big,0.1,100,ori,1.0
FNN_big,0.1,100,adv-train,0.98
FNN_big,0.1,100,art,0.08
FNN_big,0.1,100,care,1.0
FNN_big,0.1,100,prdnn,1.0
FNN_big,0.1,100,reassure,1.0
FNN_big,0.1,200,small,0.0
FNN_big,0.1,200,big,0.0
FNN_big,0.1,200,ori,1.0
FNN_big,0.1,200,adv-train,0.925
FNN_big,0.1,200,art,0.085
FNN_big,0.1,200,care,0.985
FNN_big,0.1,200,prdnn,1.0
FNN_big,0.1,200,reassure,1.0
FNN_big,0.1,500,small,0.0
FNN_big,0.1,500,big,0.0
FNN_big,0.1,500,ori,1.0
FNN_big,0.1,500,adv-train,0.99
FNN_big,0.1,500,art,0.09
FNN_big,0.1,500,care,1.0
FNN_big,0.1,500,prdnn,0.998
FNN_big,0.1,500,reassure,0
FNN_big,0.1,1000,small,0.0
FNN_big,0.1,1000,big,0.0
FNN_big,0.1,1000,ori,1.0
FNN_big,0.1,1000,adv-train,0.996
FNN_big,0.1,1000,art,0.089
FNN_big,0.1,1000,care,1.0
FNN_big,0.1,1000,prdnn,1.0
FNN_big,0.1,1000,reassure,0
FNN_big,0.3,50,small,0.0
FNN_big,0.3,50,big,0.0
FNN_big,0.3,50,ori,1.0
FNN_big,0.3,50,adv-train,1.0
FNN_big,0.3,50,art,0.08
FNN_big,0.3,50,care,1.0
FNN_big,0.3,50,prdnn,1.0
FNN_big,0.3,50,reassure,1.0
FNN_big,0.3,100,small,0.0
FNN_big,0.3,100,big,0.0
FNN_big,0.3,100,ori,1.0
FNN_big,0.3,100,adv-train,1.0
FNN_big,0.3,100,art,0.08
FNN_big,0.3,100,care,1.0
FNN_big,0.3,100,prdnn,1.0
FNN_big,0.3,100,reassure,1.0
FNN_big,0.3,200,small,0.0
FNN_big,0.3,200,big,0.0
FNN_big,0.3,200,ori,1.0
FNN_big,0.3,200,adv-train,1.0
FNN_big,0.3,200,art,0.09
FNN_big,0.3,200,care,1.0
FNN_big,0.3,200,prdnn,1.0
FNN_big,0.3,200,reassure,1.0
FNN_big,0.3,500,small,0.0
FNN_big,0.3,500,big,0.0
FNN_big,0.3,500,ori,1.0
FNN_big,0.3,500,adv-train,1.0
FNN_big,0.3,500,art,0.088
FNN_big,0.3,500,care,1.0
FNN_big,0.3,500,prdnn,1.0
FNN_big,0.3,500,reassure,0
FNN_big,0.3,1000,small,0.001
FNN_big,0.3,1000,big,0.001
FNN_big,0.3,1000,ori,1.0
FNN_big,0.3,1000,adv-train,1.0
FNN_big,0.3,1000,art,0.088
FNN_big,0.3,1000,care,1.0
FNN_big,0.3,1000,prdnn,1.0
FNN_big,0.3,1000,reassure,0
CNN_small,0.05,50,small,0.0
CNN_small,0.05,50,big,0.0
CNN_small,0.05,50,ori,1.0
CNN_small,0.05,50,adv-train,0.02
CNN_small,0.05,50,art,0.08
CNN_small,0.05,50,care,1.0
CNN_small,0.05,50,prdnn,1.0
CNN_small,0.05,50,reassure,1.0
CNN_small,0.05,100,small,0.0
CNN_small,0.05,100,big,0.0
CNN_small,0.05,100,ori,1.0
CNN_small,0.05,100,adv-train,0.0
CNN_small,0.05,100,art,0.07
CNN_small,0.05,100,care,0.99
CNN_small,0.05,100,prdnn,1.0
CNN_small,0.05,100,reassure,1.0
CNN_small,0.05,200,small,0.0
CNN_small,0.05,200,big,0.0
CNN_small,0.05,200,ori,1.0
CNN_small,0.05,200,adv-train,0.125
CNN_small,0.05,200,art,0.075
CNN_small,0.05,200,care,0.99
CNN_small,0.05,200,prdnn,1.0
CNN_small,0.05,200,reassure,1.0
CNN_small,0.05,500,small,0.0
CNN_small,0.05,500,big,0.0
CNN_small,0.05,500,ori,1.0
CNN_small,0.05,500,adv-train,0.696
CNN_small,0.05,500,art,0
CNN_small,0.05,500,care,0.986
CNN_small,0.05,500,prdnn,1.0
CNN_small,0.05,500,reassure,0
CNN_small,0.05,1000,small,0.0
CNN_small,0.05,1000,big,0.0
CNN_small,0.05,1000,ori,1.0
CNN_small,0.05,1000,adv-train,0.957
CNN_small,0.05,1000,art,0
CNN_small,0.05,1000,care,0.985
CNN_small,0.05,1000,prdnn,1.0
CNN_small,0.05,1000,reassure,0
CNN_small,0.1,50,small,0.0
CNN_small,0.1,50,big,0.0
CNN_small,0.1,50,ori,1.0
CNN_small,0.1,50,adv-train,0.24
CNN_small,0.1,50,art,0.08
CNN_small,0.1,50,care,0.98
CNN_small,0.1,50,prdnn,1.0
CNN_small,0.1,50,reassure,1.0
CNN_small,0.1,100,small,0.0
CNN_small,0.1,100,big,0.0
CNN_small,0.1,100,ori,1.0
CNN_small,0.1,100,adv-train,0.25
CNN_small,0.1,100,art,0.08
CNN_small,0.1,100,care,0.99
CNN_small,0.1,100,prdnn,1.0
CNN_small,0.1,100,reassure,1.0
CNN_small,0.1,200,small,0.0
CNN_small,0.1,200,big,0.005
CNN_small,0.1,200,ori,1.0
CNN_small,0.1,200,adv-train,0.785
CNN_small,0.1,200,art,0.085
CNN_small,0.1,200,care,0.995
CNN_small,0.1,200,prdnn,1.0
CNN_small,0.1,200,reassure,1.0
CNN_small,0.1,500,small,0.002
CNN_small,0.1,500,big,0.002
CNN_small,0.1,500,ori,1.0
CNN_small,0.1,500,adv-train,0.934
CNN_small,0.1,500,art,0
CNN_small,0.1,500,care,0.998
CNN_small,0.1,500,prdnn,1.0
CNN_small,0.1,500,reassure,0
CNN_small,0.1,1000,small,0.001
CNN_small,0.1,1000,big,0.002
CNN_small,0.1,1000,ori,1.0
CNN_small,0.1,1000,adv-train,0.989
CNN_small,0.1,1000,art,0
CNN_small,0.1,1000,care,0.994
CNN_small,0.1,1000,prdnn,1.0
CNN_small,0.1,1000,reassure,0
CNN_small,0.3,50,small,0.0
CNN_small,0.3,50,big,0.0
CNN_small,0.3,50,ori,1.0
CNN_small,0.3,50,adv-train,1.0
CNN_small,0.3,50,art,0.08
CNN_small,0.3,50,care,1.0
CNN_small,0.3,50,prdnn,1.0
CNN_small,0.3,50,reassure,1.0
CNN_small,0.3,100,small,0.0
CNN_small,0.3,100,big,0.0
CNN_small,0.3,100,ori,1.0
CNN_small,0.3,100,adv-train,1.0
CNN_small,0.3,100,art,0.09
CNN_small,0.3,100,care,1.0
CNN_small,0.3,100,prdnn,1.0
CNN_small,0.3,100,reassure,1.0
CNN_small,0.3,200,small,0.0
CNN_small,0.3,200,big,0.0
CNN_small,0.3,200,ori,1.0
CNN_small,0.3,200,adv-train,1.0
CNN_small,0.3,200,art,0.09
CNN_small,0.3,200,care,1.0
CNN_small,0.3,200,prdnn,1.0
CNN_small,0.3,200,reassure,1.0
CNN_small,0.3,500,small,0.0
CNN_small,0.3,500,big,0.0
CNN_small,0.3,500,ori,1.0
CNN_small,0.3,500,adv-train,1.0
CNN_small,0.3,500,art,0
CNN_small,0.3,500,care,1.0
CNN_small,0.3,500,prdnn,1.0
