net,radius,data_number,tool,defense success of apgd & apgdt
FNN_big,0.05,100,aprnn,0.1903
FNN_big,0.05,200,PatchRepair,0.9709
FNN_big,0.05,200,original,0.4055
FNN_big,0.05,200,adv_training,0.6339
FNN_big,0.05,200,art,0.0892
FNN_big,0.05,200,care,0.3792
FNN_big,0.05,200,prdnn,0.3316
FNN_big,0.05,200,reassure,0
FNN_big,0.05,200,aprnn,0.1276
FNN_big,0.05,500,PatchRepair,0.9718
FNN_big,0.05,500,original,0.405
FNN_big,0.05,500,adv_training,0.6754
FNN_big,0.05,500,art,0.101
FNN_big,0.05,500,care,0.3545
FNN_big,0.05,500,prdnn,0.2968
FNN_big,0.05,500,reassure,0
FNN_big,0.05,500,aprnn,0.0168
FNN_big,0.05,1000,PatchRepair,0.9718
FNN_big,0.05,1000,original,0.405
FNN_big,0.05,1000,adv_training,0.694
FNN_big,0.05,1000,art,0.1135
FNN_big,0.05,1000,care,0.3677
FNN_big,0.05,1000,prdnn,0.2548
FNN_big,0.05,1000,reassure,0
FNN_big,0.05,1000,aprnn,0.0177
FNN_big,0.1,50,PatchRepair,0.9713
FNN_big,0.1,50,original,0.0152
FNN_big,0.1,50,adv_training,0.0926
FNN_big,0.1,50,art,0.0974
FNN_big,0.1,50,care,0.0259
FNN_big,0.1,50,prdnn,0.0071
FNN_big,0.1,50,reassure,0
FNN_big,0.1,50,aprnn,0.0112
FNN_big,0.1,100,PatchRepair,0.9714
FNN_big,0.1,100,original,0.0154
FNN_big,0.1,100,adv_training,0.1928
FNN_big,0.1,100,art,0.0982
FNN_big,0.1,100,care,0.0177
FNN_big,0.1,100,prdnn,0.0092
FNN_big,0.1,100,reassure,0
FNN_big,0.1,100,aprnn,0.0001
FNN_big,0.1,200,PatchRepair,0.9709
FNN_big,0.1,200,original,0.0154
FNN_big,0.1,200,adv_training,0.2532
FNN_big,0.1,200,art,0.0982
FNN_big,0.1,200,care,0.0262
FNN_big,0.1,200,prdnn,0.0082
FNN_big,0.1,200,reassure,0
FNN_big,0.1,200,aprnn,0.0006
FNN_big,0.1,500,PatchRepair,0.9717
FNN_big,0.1,500,original,0.0153
FNN_big,0.1,500,adv_training,0.1637
FNN_big,0.1,500,art,0.0892
FNN_big,0.1,500,care,0.012
FNN_big,0.1,500,prdnn,0.0023
FNN_big,0.1,500,reassure,0
FNN_big,0.1,500,aprnn,0.0
FNN_big,0.1,1000,PatchRepair,0.9718
FNN_big,0.1,1000,original,0.0151
FNN_big,0.1,1000,adv_training,0.1325
FNN_big,0.1,1000,art,0.1028
FNN_big,0.1,1000,care,0.0138
FNN_big,0.1,1000,prdnn,0.0012
FNN_big,0.1,1000,reassure,0
FNN_big,0.1,1000,aprnn,0.0
FNN_big,0.3,50,PatchRepair,0.9603
FNN_big,0.3,50,original,0.0
FNN_big,0.3,50,adv_training,0.0
FNN_big,0.3,50,art,0.1135
FNN_big,0.3,50,care,0.0
FNN_big,0.3,50,prdnn,0.0
FNN_big,0.3,50,reassure,0
FNN_big,0.3,50,aprnn,0.0
FNN_big,0.3,100,PatchRepair,0.9669
FNN_big,0.3,100,original,0.0
FNN_big,0.3,100,adv_training,0.0
FNN_big,0.3,100,art,0.1135
FNN_big,0.3,100,care,0.0
FNN_big,0.3,100,prdnn,0.0
FNN_big,0.3,100,reassure,0
FNN_big,0.3,100,aprnn,0.0
FNN_big,0.3,200,PatchRepair,0.9715
FNN_big,0.3,200,original,0.0
FNN_big,0.3,200,adv_training,0.0
FNN_big,0.3,200,art,0.1028
FNN_big,0.3,200,care,0.0
FNN_big,0.3,200,prdnn,0.0
FNN_big,0.3,200,reassure,0
FNN_big,0.3,200,aprnn,0.0
FNN_big,0.3,500,PatchRepair,0.9717
FNN_big,0.3,500,original,0.0
FNN_big,0.3,500,adv_training,0.0
FNN_big,0.3,500,art,0.1032
FNN_big,0.3,500,care,0.0
FNN_big,0.3,500,prdnn,0.0
FNN_big,0.3,500,reassure,0
FNN_big,0.3,500,aprnn,0.0
FNN_big,0.3,1000,PatchRepair,0.9716
FNN_big,0.3,1000,original,0.0
FNN_big,0.3,1000,adv_training,0.0
FNN_big,0.3,1000,art,0.1135
FNN_big,0.3,1000,care,0.0
FNN_big,0.3,1000,prdnn,0.0
FNN_big,0.3,1000,reassure,0
FNN_big,0.3,1000,aprnn,0.0
CNN_small,0.05,50,PatchRepair,0.9663
CNN_small,0.05,50,original,0.7062
CNN_small,0.05,50,adv_training,0.7413
CNN_small,0.05,50,art,0.0982
CNN_small,0.05,50,care,0.7063
CNN_small,0.05,50,prdnn,0.3746
CNN_small,0.05,50,reassure,0
CNN_small,0.05,50,aprnn,0.7038
CNN_small,0.05,100,PatchRepair,0.9827
CNN_small,0.05,100,original,0.7068
CNN_small,0.05,100,adv_training,0.8196
