Model,radius,num,,,RSR/%,,,RGR/%,,,DSR/%,,,DGSR/%,,
,,,PS,PB,LS,LB,PS,PB,LS,LB,PS,PB,LS,LB,PS,PB,LS,LB,PS,PB,LS,LB
FNN_small,0.05,50,100.0[],100.0[],100.0[],99.3[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],90.0[],90.0[],89.9[],89.8[]
FNN_small,0.05,100,100.0[],100.0[],100.0[],99.3[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.4[],96.4[],96.1[],96.0[]
FNN_small,0.05,200,100.0[],100.0[],100.0[],99.3[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.6[],96.6[],96.6[],96.6[]
FNN_small,0.05,500,100.0[],100.0[],100.0[],99.3[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.6[],96.6[],96.6[],96.6[]
FNN_small,0.05,1000,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.6[],96.6[],96.6[],96.6[]
FNN_small,0.1,50,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.3[],96.3[],89.5[],89.5[]
FNN_small,0.1,100,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],95.0[],96.3[],94.7[],94.8[]
FNN_small,0.1,200,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],95.2[],95.1[],94.9[],94.8[]
FNN_small,0.1,500,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],95.3[],95.2[],96.3[],96.3[]
FNN_small,0.1,1000,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.5[],96.5[],96.3[],96.3[]
FNN_small,0.3,50,94.0[],94.0[],94.0[],94.0[],94.8[],94.8[],94.8[],94.8[],92.0[],92.0[],92.0[],92.0[],86.4[],79.9[],44.6[],44.5[]
FNN_small,0.3,100,99.0[],99.0[],99.0[],99.0[],99.0[],99.0[],99.0[],99.0[],100.0[],99.0[],99.0[],100.0[],96.2[],96.2[],85.8[],86.1[]
FNN_small,0.3,200,99.5[],99.5[],99.5[],99.5[],99.5[],99.5[],99.5[],99.5[],100.0[],99.0[],97.5[],98.0[],90.8[],91.2[],85.9[],85.9[]
FNN_small,0.3,500,99.4[],99.4[],99.8[],99.8[],99.5[],99.5[],99.8[],99.8[],99.8[],99.6[],100.0[],100.0[],92.0[],92.1[],89.5[],89.7[]
FNN_small,0.3,1000,99.6[],99.6[],99.9[],99.9[],99.7[],99.7[],100.0[],100.0[],99.7[],99.6[],100.0[],100.0[],96.6[],96.5[],94.2[],94.2[]
FNN_big,0.05,50,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.0[],97.0[],96.8[],96.8[]
FNN_big,0.05,100,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.1[],97.1[],96.8[],96.8[]
FNN_big,0.05,200,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.1[],97.1[],96.8[],96.8[]
FNN_big,0.05,500,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.2[],97.2[],97.2[],97.2[]
FNN_big,0.05,1000,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.2[],97.2[],97.2[],97.2[]
FNN_big,0.1,50,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.1[],97.1[],96.8[],96.8[]
FNN_big,0.1,100,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.1[],97.2[],96.8[],96.9[]
FNN_big,0.1,200,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.1[],97.1[],96.9[],96.8[]
FNN_big,0.1,500,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.2[],97.2[],96.8[],96.8[]
FNN_big,0.1,1000,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.2[],97.2[],97.2[],97.0[]
FNN_big,0.3,50,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.0[],96.1[],89.1[],89.1[]
FNN_big,0.3,100,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],96.7[],96.8[],89.1[],89.1[]
FNN_big,0.3,200,100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],100.0[],97.2[],97.2[],89.3[],89.3[]
