net,radius,data_number,patch_format,drawdown,rs,gene,time
CNN_small,0.3,50,small,0.0,1.0,1.0,15.015744276344776
CNN_small,0.3,50,big,0.0,1.0,1.0,14.60744208842516
CNN_small,0.3,100,small,0.0,1.0,1.0,32.58567199483514
CNN_small,0.3,100,big,0.0,1.0,1.0,29.946916546672583
CNN_small,0.3,200,small,0.0,1.0,1.0,87.92843257635832
CNN_small,0.3,200,big,0.0,1.0,1.0,63.18768945336342
CNN_small,0.3,500,small,0.0,1.0,1.0,361.3930115774274
CNN_small,0.3,500,big,0.0,1.0,1.0,208.08069789782166
CNN_small,0.3,1000,small,0.0,1.0,1.0,1282.607289519161
CNN_small,0.3,1000,big,0.0,1.0,1.0,598.5023328512907
FNN_small,0.05,50,art,0.8684,0.1,0.1,257.654061883688
FNN_small,0.05,100,art,0.87,0.1,0.1,318.5114866234362
FNN_small,0.05,200,art,0.8648,0.11,0.11,422.33095126226544
FNN_small,0.05,500,art,0.8684,0.11,0.11,688.749226603657
FNN_small,0.05,1000,art,0.87,0.11,0.11,1247.515606906265
FNN_small,0.1,50,art,0.8649,0.14,0.14,392.9770722016692
FNN_small,0.1,100,art,0.87,0.09,0.09,321.41269559040666
FNN_small,0.1,200,art,0.8648,0.12,0.12,416.6742778085172
FNN_small,0.1,500,art,0.8678,0.14,0.14,564.4289371930063
FNN_small,0.1,1000,art,0.8678,0.14,0.14,1733.195800639689
FNN_small,0.3,50,art,0.8684,0.08,0.08,255.68894398584962
FNN_small,0.3,100,art,0.87,0.11,0.11,322.2945768646896
FNN_small,0.3,200,art,0.87,0.08,0.08,405.6334079578519
FNN_small,0.3,500,art,0.863,0.1,0.1,555.7653507515788
FNN_small,0.3,1000,art,0.8678,0.11,0.11,2116.108995396644
FNN_big,0.05,50,art,0.8583,0.24,0.24,436.502731282264
FNN_big,0.05,100,art,0.8686,0.09,0.09,503.48687843605876
FNN_big,0.05,200,art,0.8826,0.06,0.06,628.3060939610004
FNN_big,0.05,500,art,0.8708,0.1,0.1,1080.218103080988
FNN_big,0.05,1000,art,0.8583,0.2,0.2,2167.5804670006037
FNN_big,0.1,50,art,0.8744,0.08,0.08,442.21862998232245
FNN_big,0.1,100,art,0.8736,0.11,0.11,514.6183464825153
FNN_big,0.1,200,art,0.8736,0.1,0.1,639.1860804706812
FNN_big,0.1,500,art,0.8826,0.15,0.15,1048.6478113234043
FNN_big,0.1,1000,art,0.869,0.11,0.11,2148.304568901658
FNN_big,0.3,50,art,0.8583,0.14,0.14,439.17133544012904
FNN_big,0.3,100,art,0.8583,0.14,0.14,518.8934376314282
FNN_big,0.3,200,art,0.869,0.1,0.1,643.2830389216542
FNN_big,0.3,500,art,0.8686,0.09,0.09,1047.5568486265838
FNN_big,0.3,1000,art,0.8583,0.12,0.12,2158.471753500402
CNN_small,0.05,50,art,0.8845000000000001,0.0,0.0,789.8719749934971
CNN_small,0.05,100,art,0.8853,0.6,0.6,879.0347248315811
CNN_small,0.05,200,art,0.8853,0.0,0.0,969.9368849247694
CNN_small,0.05,500,art,0,0,0,0
CNN_small,0.05,1000,art,0,0,0,0
CNN_small,0.1,50,art,0.8795000000000001,0.0,0.0,938.0490927807987
CNN_small,0.1,100,art,0.8869,0.1,0.1,1022.7772543057799
